,eps,n_samples,silhouette_score
0,67,11,0.13155284433284667
0,68,11,0.1302017497383073
0,84,5,0.12933764288714772
0,24,3,0.12864440824695295
0,64,10,0.1283440492440892
0,61,3,0.12700538674921527
0,83,5,0.12666777473491722
0,94,15,0.1260747434271608
0,96,5,0.12603204071347623
0,95,5,0.12603204071347623
0,99,16,0.12599607042449382
0,68,3,0.12586962544734173
0,69,3,0.12586962544734173
0,48,8,0.12488211295765031
0,71,3,0.12460347860476435
0,87,6,0.12422041394316857
0,82,5,0.12380501364407208
0,70,3,0.122944422488117
0,85,13,0.12294253248218572
0,46,4,0.12249928884339167
0,67,6,0.12187976314414971
0,45,4,0.12186878480080357
0,99,4,0.12103364007926998
0,69,6,0.1207912533176936
0,68,6,0.1207912533176936
0,6,1,0.12020301556335262
0,77,12,0.11904695615102577
0,98,4,0.1189512755387151
0,38,7,0.11881043279911181
0,66,3,0.11831001416985902
0,94,5,0.11799744224753626
0,84,13,0.11725344596890949
0,44,4,0.11718093130814031
0,66,6,0.11715514496486079
0,93,5,0.11695856931073521
0,86,6,0.11629905729273299
0,97,4,0.11550292950759629
0,47,4,0.11548070148956849
0,67,3,0.11541520952077801
0,83,13,0.11534663431881856
0,65,3,0.11442793057450348
0,63,3,0.11372299945432132
0,47,8,0.11292991199327264
0,66,11,0.11264287632885145
0,22,4,0.11189800490584537
0,33,6,0.11163334017342891
0,98,16,0.11116557554962264
0,85,6,0.11036192560449794
0,28,5,0.10997540783838292
0,96,6,0.1097856396481972
0,92,15,0.10977285433976282
0,92,5,0.10972308612542007
0,64,3,0.10871494932152571
0,81,4,0.10856223875060685
0,95,6,0.1084908512179905
0,91,5,0.10841006966331085
0,90,5,0.10821312985683754
0,80,4,0.108099108713674
0,79,4,0.10759476592340037
0,60,10,0.10723474135722391
0,94,6,0.10719339913583836
0,99,7,0.10683652823356578
0,98,7,0.10683652823356578
0,97,7,0.10683652823356578
0,89,5,0.10669501353635154
0,93,6,0.10598015309250579
0,92,6,0.10598015309250579
0,88,5,0.1052688383311608
0,62,3,0.10508433454360394
0,65,11,0.10486152400676081
0,46,8,0.10360053160463789
0,91,15,0.10342427608625321
0,59,10,0.10283311748134528
0,5,1,0.10135349726097068
0,90,15,0.10032639663227928
0,76,12,0.10028386331203037
0,82,13,0.09961775304163796
0,23,3,0.09961389216300387
0,78,4,0.0995321966995314
0,88,6,0.09834945799162502
